Country,Date,Cases,Deaths,Recovered,Active,Critical,Tests,Population,Vaccinated
Brazil,2023-04-28,583,32,675,164,15,83880,19169320,21998
Brazil,2023-03-19,14,5,753,428,18,32747,11935867,40930
Brazil,2023-04-28,488,25,998,105,28,48650,9797607,42082
Brazil,2023-06-05,211,77,373,459,19,38396,8278146,12042
Brazil,2023-07-06,155,40,0,20,2,64843,3041176,17861
Brazil,2023-01-21,131,63,920,299,17,47662,5375778,92683
Brazil,2023-11-04,845,73,873,484,32,17138,15633242,44934
Brazil,2023-05-27,765,32,252,11,0,93040,9777845,48571
Brazil,2023-05-15,898,10,875,235,20,64303,8288224,61244
Brazil,2023-05-23,165,76,890,290,22,86950,12933903,86065
Brazil,2023-05-21,972,29,178,449,41,13077,15146328,6910
Brazil,2023-02-25,168,71,432,470,38,23587,2373784,32312
Brazil,2023-09-03,903,16,362,165,26,30557,2300183,84256
Brazil,2023-10-03,654,9,419,151,23,54411,4065073,51444
Brazil,2023-01-01,683,20,794,239,21,78047,10910252,93606
Brazil,2023-09-06,356,19,40,157,49,23582,2652377,75
Brazil,2023-07-23,214,45,69,409,19,33446,5857345,73646
Brazil,2023-10-13,861,100,302,83,13,98630,4669875,36555
Brazil,2023-04-09,316,46,654,33,9,83770,1686006,62107
Brazil,2023-04-10,838,47,925,306,35,83268,19283275,52244
Brazil,2023-10-22,111,70,242,260,29,22123,9950555,18248
Brazil,2023-03-26,146,11,383,66,29,32316,5571156,19422
Brazil,2023-09-22,789,6,268,82,41,89898,1290462,12670
Brazil,2023-03-10,549,10,564,211,47,39899,17748324,15291
Brazil,2023-04-16,825,84,720,441,39,21417,4363326,1834
Brazil,2023-07-03,563,45,240,82,32,67817,17706108,95273
Brazil,2023-07-06,221,31,641,52,42,45350,12469809,25482
Brazil,2023-08-08,381,28,53,376,18,91703,13081796,60120
Brazil,2023-10-01,101,88,99,23,48,11299,16443762,16225
Brazil,2023-09-26,220,36,858,111,10,19105,3581634,2662
Brazil,2023-05-15,855,59,337,417,9,23952,9647663,62145
Brazil,2023-03-01,378,90,591,229,27,15595,6598092,34275
Brazil,2023-11-25,315,10,430,44,17,77197,10950910,49446
Brazil,2023-06-03,1,36,185,355,26,10602,12630676,88814
Brazil,2023-10-09,290,30,43,319,5,15156,18778819,77999
Brazil,2023-05-31,378,100,856,365,30,91848,6508799,82834
Brazil,2023-10-06,114,21,986,153,32,59502,15950602,77046
Brazil,2023-04-26,922,59,774,460,27,13179,13063838,50382
Brazil,2023-05-15,623,88,707,94,31,67582,16746187,70214
Brazil,2023-08-24,231,49,647,56,46,18696,4162163,71360
Brazil,2023-08-11,204,49,870,194,9,6991,11090010,62889
Brazil,2023-05-12,723,42,232,447,44,17718,4215709,97256
Brazil,2023-03-19,688,40,289,231,6,71141,12536640,87460
Brazil,2023-09-07,284,7,686,21,26,34751,9105480,14066
Brazil,2023-10-07,587,57,408,263,15,20201,13823200,23830
Brazil,2023-02-25,284,66,107,234,2,36456,5805966,93113
Brazil,2023-06-11,77,42,380,206,20,18225,18504804,63453
Brazil,2023-07-11,471,46,19,421,42,48081,9344827,8686
Brazil,2023-10-24,841,97,754,500,43,9110,1387352,10486
Brazil,2023-07-01,110,67,755,385,45,64412,16215591,73137
Brazil,2023-03-05,838,28,472,116,42,74691,19081420,95481
